nm, %T
435.500000, 34.953523
435.200000, 34.979091
434.900000, 35.000410
434.600000, 34.914980
434.300000, 34.862829
434.000000, 34.847890
433.700000, 34.806032
433.400000, 34.790446
433.100000, 34.803878
432.800000, 34.768867
432.500000, 34.731833
432.200000, 34.688690
431.900000, 34.642493
431.600000, 34.725046
431.300000, 34.682388
431.000000, 34.651038
430.700000, 34.555099
430.400000, 34.529188
430.100000, 34.469054
429.800000, 34.420216
429.500000, 34.415988
429.200000, 34.390732
428.900000, 34.337137
428.600000, 34.335919
428.300000, 34.308126
428.000000, 34.224236
427.700000, 34.143846
427.400000, 34.116447
427.100000, 34.145957
426.800000, 34.141339
426.500000, 34.099819
426.200000, 34.048764
425.900000, 34.047311
425.600000, 33.999274
425.300000, 33.951028
425.000000, 33.928959
424.700000, 33.889968
424.400000, 33.886247
424.100000, 33.878471
423.800000, 33.845554
423.500000, 33.788609
423.200000, 33.728652
422.900000, 33.698310
422.600000, 33.650989
422.300000, 33.590431
422.000000, 33.596999
421.700000, 33.605486
421.400000, 33.594404
421.100000, 33.574934
420.800000, 33.560858
420.500000, 33.547969
420.200000, 33.529683
419.900000, 33.497752
419.600000, 33.471476
